experiment,run,leader_before,leader_after,leadership_changed,injection_time,recovery_time,recovery_seconds,quorum_lost,notes
kill_leader,1,zookeeper-2,zookeeper-1,yes,2026-04-09 18:17:28.706,2026-04-09 18:18:32.789,64.1,no,new leader elected during fault: zookeeper-1
kill_leader,2,zookeeper-1,zookeeper-2,yes,2026-04-09 18:20:05.267,2026-04-09 18:21:13.057,67.8,no,new leader elected during fault: zookeeper-2
kill_leader,3,zookeeper-2,zookeeper-1,yes,2026-04-09 18:22:45.618,2026-04-09 18:23:48.161,62.5,no,new leader elected during fault: zookeeper-1
kill_leader,4,zookeeper-1,zookeeper-2,yes,2026-04-09 18:25:21.654,2026-04-09 18:26:28.927,67.3,no,new leader elected during fault: zookeeper-2
kill_leader,5,zookeeper-2,zookeeper-1,yes,2026-04-09 18:28:01.646,2026-04-09 18:29:09.376,67.7,no,new leader elected during fault: zookeeper-1
network_partition,1,zookeeper-1,zookeeper-2,yes,2026-04-09 18:30:42.496,2026-04-09 18:32:08.198,85.7,partial (isolated leader loses quorum; follower pair forms quorum),new leader elected among followers: zookeeper-2
network_partition,2,zookeeper-2,zookeeper-1,yes,2026-04-09 18:33:41.379,2026-04-09 18:35:36.269,114.9,partial (isolated leader loses quorum; follower pair forms quorum),new leader elected among followers: zookeeper-1
network_partition,3,zookeeper-1,zookeeper-2,yes,2026-04-09 18:37:10.102,2026-04-09 18:39:06.992,116.9,partial (isolated leader loses quorum; follower pair forms quorum),split-brain window observed: isolated leader + followers both reported 'leader'; new leader elected among followers: zookeeper-2
network_partition,4,zookeeper-2,zookeeper-1,yes,2026-04-09 18:40:40.172,2026-04-09 18:42:29.719,109.5,partial (isolated leader loses quorum; follower pair forms quorum),new leader elected among followers: zookeeper-1
network_partition,5,zookeeper-1,zookeeper-2,yes,2026-04-09 18:44:03.278,2026-04-09 18:45:56.010,112.7,partial (isolated leader loses quorum; follower pair forms quorum),new leader elected among followers: zookeeper-2
cascading_failure,1,zookeeper-2,zookeeper-1,yes,2026-04-09 18:47:29.447,2026-04-09 18:48:48.277,78.8,no,time_between_kills=13.2s (target=10s); quorum_lost=no; WARNING: surviving pod unexpectedly reported leader/follower mode; post-recovery leader: zookeeper-1
cascading_failure,2,zookeeper-1,zookeeper-2,yes,2026-04-09 18:50:20.395,2026-04-09 18:52:27.547,127.2,yes,time_between_kills=12.2s (target=10s); quorum_lost=yes; ZooKeeper correctly refused leadership with only 1/3 nodes alive; post-recovery leader: zookeeper-2
cascading_failure,3,zookeeper-2,zookeeper-1,yes,2026-04-10 02:02:45.426,2026-04-10 02:04:02.940,77.5,no,time_between_kills=12.2s (target=10s); quorum_lost=no; WARNING: surviving pod unexpectedly reported leader/follower mode; post-recovery leader: zookeeper-1
cascading_failure,4,zookeeper-1,zookeeper-2,yes,2026-04-10 02:05:35.701,2026-04-10 02:06:54.407,78.7,yes,time_between_kills=13.0s (target=10s); quorum_lost=yes; ZooKeeper correctly refused leadership with only 1/3 nodes alive; post-recovery leader: zookeeper-2
cascading_failure,5,zookeeper-2,zookeeper-1,yes,2026-04-10 02:08:27.851,2026-04-10 02:09:47.763,79.9,no,time_between_kills=13.7s (target=10s); quorum_lost=no; WARNING: surviving pod unexpectedly reported leader/follower mode; post-recovery leader: zookeeper-1
