# ================================================================
# ZooKeeper Workload Log
# Started     : 2026-04-10 15:07:45
# ZK host     : 127.0.0.1:2181
# Log file    : logs\workload\workload_20260410_150745.txt
# Interval    : 0.5s between operations
#
# Correlation : match timestamps below with FAULT INJECTED /
#   FAULT REMOVED events in logs/log_v2_all_experiments_master.txt
#   Format: [YYYY-MM-DD HH:MM:SS.mmm] OK/ERROR - details
# ================================================================

[2026-04-10 15:07:45.825] CONNECTING to ZooKeeper at 127.0.0.1:2181 ...
[2026-04-10 15:07:46.005] CONNECTED. Starting read/write loop (Ctrl-C to stop).

[2026-04-10 15:07:46.005] OK    wrote=0  read=0
[2026-04-10 15:07:46.537] OK    wrote=1  read=1
[2026-04-10 15:07:47.053] OK    wrote=2  read=2
[2026-04-10 15:07:47.571] OK    wrote=3  read=3
[2026-04-10 15:07:48.087] OK    wrote=4  read=4
[2026-04-10 15:07:48.603] OK    wrote=5  read=5
[2026-04-10 15:07:49.125] OK    wrote=6  read=6
[2026-04-10 15:07:49.649] OK    wrote=7  read=7
[2026-04-10 15:07:50.168] OK    wrote=8  read=8
[2026-04-10 15:07:50.686] OK    wrote=9  read=9
[2026-04-10 15:07:51.207] OK    wrote=10  read=10
[2026-04-10 15:07:51.728] OK    wrote=11  read=11
[2026-04-10 15:07:52.244] OK    wrote=12  read=12
[2026-04-10 15:07:52.762] OK    wrote=13  read=13
[2026-04-10 15:07:53.282] OK    wrote=14  read=14
[2026-04-10 15:07:53.804] OK    wrote=15  read=15
[2026-04-10 15:07:54.320] OK    wrote=16  read=16
[2026-04-10 15:07:54.843] OK    wrote=17  read=17
[2026-04-10 15:07:55.365] OK    wrote=18  read=18
[2026-04-10 15:07:55.887] OK    wrote=19  read=19
[2026-04-10 15:07:56.406] OK    wrote=20  read=20
[2026-04-10 15:07:56.925] OK    wrote=21  read=21
[2026-04-10 15:07:57.440] OK    wrote=22  read=22
[2026-04-10 15:07:57.966] OK    wrote=23  read=23
[2026-04-10 15:07:58.478] OK    wrote=24  read=24
[2026-04-10 15:07:58.999] OK    wrote=25  read=25
[2026-04-10 15:07:59.520] OK    wrote=26  read=26
[2026-04-10 15:08:00.045] OK    wrote=27  read=27
[2026-04-10 15:08:00.564] OK    wrote=28  read=28
[2026-04-10 15:08:01.086] OK    wrote=29  read=29
[2026-04-10 15:08:01.613] OK    wrote=30  read=30
[2026-04-10 15:08:02.136] OK    wrote=31  read=31
[2026-04-10 15:08:02.659] OK    wrote=32  read=32
[2026-04-10 15:08:03.173] OK    wrote=33  read=33
[2026-04-10 15:08:03.688] OK    wrote=34  read=34
[2026-04-10 15:08:04.210] OK    wrote=35  read=35
[2026-04-10 15:08:04.722] OK    wrote=36  read=36
[2026-04-10 15:08:05.235] OK    wrote=37  read=37
[2026-04-10 15:08:05.782] OK    wrote=38  read=38
[2026-04-10 15:08:06.472] OK    wrote=39  read=39
[2026-04-10 15:08:07.076] OK    wrote=40  read=40
[2026-04-10 15:08:07.667] OK    wrote=41  read=41
[2026-04-10 15:08:08.673] OK    wrote=42  read=42
[2026-04-10 15:08:09.370] OK    wrote=43  read=43
[2026-04-10 15:08:09.892] ERROR ConnectionLoss: 
[2026-04-10 15:08:11.876] OK    wrote=44  read=44
[2026-04-10 15:08:12.869] OK    wrote=45  read=45
[2026-04-10 15:08:13.384] OK    wrote=46  read=46
[2026-04-10 15:08:13.894] OK    wrote=47  read=47
[2026-04-10 15:08:14.411] OK    wrote=48  read=48
[2026-04-10 15:08:14.924] OK    wrote=49  read=49
[2026-04-10 15:08:15.474] OK    wrote=50  read=50
[2026-04-10 15:08:16.066] OK    wrote=51  read=51
[2026-04-10 15:08:16.580] OK    wrote=52  read=52
[2026-04-10 15:08:17.092] OK    wrote=53  read=53
[2026-04-10 15:08:17.683] OK    wrote=54  read=54
[2026-04-10 15:08:18.281] OK    wrote=55  read=55
[2026-04-10 15:08:18.872] OK    wrote=56  read=56
[2026-04-10 15:08:19.672] OK    wrote=57  read=57
[2026-04-10 15:08:20.191] OK    wrote=58  read=58
[2026-04-10 15:08:20.705] OK    wrote=59  read=59
[2026-04-10 15:08:21.223] OK    wrote=60  read=60
[2026-04-10 15:08:21.963] OK    wrote=61  read=61
[2026-04-10 15:08:22.669] OK    wrote=62  read=62
[2026-04-10 15:08:23.272] OK    wrote=63  read=63
[2026-04-10 15:08:23.783] OK    wrote=64  read=64
[2026-04-10 15:08:24.302] OK    wrote=65  read=65
[2026-04-10 15:08:24.870] OK    wrote=66  read=66
[2026-04-10 15:08:25.382] OK    wrote=67  read=67
[2026-04-10 15:08:26.271] OK    wrote=68  read=68
[2026-04-10 15:08:26.781] OK    wrote=69  read=69
[2026-04-10 15:08:27.293] OK    wrote=70  read=70
[2026-04-10 15:08:27.969] OK    wrote=71  read=71
[2026-04-10 15:08:28.567] OK    wrote=72  read=72
[2026-04-10 15:08:29.178] OK    wrote=73  read=73
[2026-04-10 15:08:30.172] OK    wrote=74  read=74
[2026-04-10 15:08:30.863] OK    wrote=75  read=75
[2026-04-10 15:08:31.386] OK    wrote=76  read=76
[2026-04-10 15:08:31.928] OK    wrote=77  read=77
[2026-04-10 15:08:32.483] OK    wrote=78  read=78
[2026-04-10 15:08:33.081] OK    wrote=79  read=79
[2026-04-10 15:08:33.768] OK    wrote=80  read=80
[2026-04-10 15:08:34.682] OK    wrote=81  read=81
[2026-04-10 15:08:35.362] OK    wrote=82  read=82
[2026-04-10 15:08:35.878] OK    wrote=83  read=83
[2026-04-10 15:08:36.395] OK    wrote=84  read=84
[2026-04-10 15:08:36.966] OK    wrote=85  read=85
[2026-04-10 15:08:37.477] OK    wrote=86  read=86
[2026-04-10 15:08:38.270] OK    wrote=87  read=87
[2026-04-10 15:08:38.875] OK    wrote=88  read=88
[2026-04-10 15:08:39.388] OK    wrote=89  read=89
[2026-04-10 15:08:39.913] OK    wrote=90  read=90
[2026-04-10 15:08:40.477] OK    wrote=91  read=91
[2026-04-10 15:08:41.476] OK    wrote=92  read=92
[2026-04-10 15:08:41.987] OK    wrote=93  read=93
[2026-04-10 15:08:42.500] OK    wrote=94  read=94
[2026-04-10 15:08:43.161] OK    wrote=95  read=95
[2026-04-10 15:08:43.674] OK    wrote=96  read=96
[2026-04-10 15:08:44.384] OK    wrote=97  read=97
[2026-04-10 15:08:44.899] OK    wrote=98  read=98
[2026-04-10 15:08:45.413] OK    wrote=99  read=99
[2026-04-10 15:08:45.975] OK    wrote=100  read=100
[2026-04-10 15:08:46.573] OK    wrote=101  read=101
[2026-04-10 15:08:47.266] OK    wrote=102  read=102
[2026-04-10 15:08:47.785] OK    wrote=103  read=103
[2026-04-10 15:08:48.303] OK    wrote=104  read=104
[2026-04-10 15:08:48.817] OK    wrote=105  read=105
[2026-04-10 15:08:49.473] OK    wrote=106  read=106
[2026-04-10 15:08:50.170] OK    wrote=107  read=107
[2026-04-10 15:08:50.771] OK    wrote=108  read=108
[2026-04-10 15:08:51.288] OK    wrote=109  read=109
[2026-04-10 15:08:51.801] OK    wrote=110  read=110
[2026-04-10 15:08:52.383] OK    wrote=111  read=111
[2026-04-10 15:08:52.974] OK    wrote=112  read=112
[2026-04-10 15:08:53.769] OK    wrote=113  read=113
[2026-04-10 15:08:54.287] OK    wrote=114  read=114
[2026-04-10 15:08:54.810] OK    wrote=115  read=115
[2026-04-10 15:08:55.330] OK    wrote=116  read=116
[2026-04-10 15:08:55.871] OK    wrote=117  read=117
[2026-04-10 15:08:56.474] OK    wrote=118  read=118
[2026-04-10 15:08:57.672] OK    wrote=119  read=119
[2026-04-10 15:08:58.572] OK    wrote=120  read=120
[2026-04-10 15:08:59.370] OK    wrote=121  read=121
[2026-04-10 15:08:59.892] OK    wrote=122  read=122
[2026-04-10 15:09:00.411] OK    wrote=123  read=123
[2026-04-10 15:09:00.976] OK    wrote=124  read=124
[2026-04-10 15:09:01.702] OK    wrote=125  read=125
[2026-04-10 15:09:02.381] OK    wrote=126  read=126
[2026-04-10 15:09:03.568] OK    wrote=127  read=127
[2026-04-10 15:09:04.164] OK    wrote=128  read=128
[2026-04-10 15:09:04.674] OK    wrote=129  read=129
[2026-04-10 15:09:05.190] OK    wrote=130  read=130
[2026-04-10 15:09:05.704] OK    wrote=131  read=131
[2026-04-10 15:09:06.274] OK    wrote=132  read=132
[2026-04-10 15:09:07.171] OK    wrote=133  read=133
[2026-04-10 15:09:07.760] OK    wrote=134  read=134
[2026-04-10 15:09:08.278] OK    wrote=135  read=135
[2026-04-10 15:09:08.794] OK    wrote=136  read=136
[2026-04-10 15:09:09.369] OK    wrote=137  read=137
[2026-04-10 15:09:09.971] OK    wrote=138  read=138
[2026-04-10 15:09:10.577] OK    wrote=139  read=139
[2026-04-10 15:09:11.086] OK    wrote=140  read=140
[2026-04-10 15:09:11.598] OK    wrote=141  read=141
[2026-04-10 15:09:12.110] OK    wrote=142  read=142
[2026-04-10 15:09:12.763] OK    wrote=143  read=143
[2026-04-10 15:09:13.774] OK    wrote=144  read=144
[2026-04-10 15:09:14.292] OK    wrote=145  read=145
[2026-04-10 15:09:14.812] OK    wrote=146  read=146
[2026-04-10 15:09:15.333] OK    wrote=147  read=147
[2026-04-10 15:09:15.851] OK    wrote=148  read=148
[2026-04-10 15:09:16.371] OK    wrote=149  read=149
[2026-04-10 15:09:16.893] OK    wrote=150  read=150
[2026-04-10 15:09:17.412] OK    wrote=151  read=151
[2026-04-10 15:09:17.933] OK    wrote=152  read=152
[2026-04-10 15:09:18.451] OK    wrote=153  read=153
[2026-04-10 15:09:18.964] OK    wrote=154  read=154
[2026-04-10 15:09:19.477] OK    wrote=155  read=155
[2026-04-10 15:09:19.996] OK    wrote=156  read=156
[2026-04-10 15:09:20.514] OK    wrote=157  read=157
[2026-04-10 15:09:21.031] OK    wrote=158  read=158
[2026-04-10 15:09:21.552] OK    wrote=159  read=159
[2026-04-10 15:09:22.086] OK    wrote=160  read=160
[2026-04-10 15:09:22.609] OK    wrote=161  read=161
[2026-04-10 15:09:23.127] OK    wrote=162  read=162
[2026-04-10 15:09:23.647] OK    wrote=163  read=163
[2026-04-10 15:09:24.162] OK    wrote=164  read=164
[2026-04-10 15:09:24.676] OK    wrote=165  read=165
[2026-04-10 15:09:25.190] OK    wrote=166  read=166
[2026-04-10 15:09:25.728] OK    wrote=167  read=167
[2026-04-10 15:09:26.266] OK    wrote=168  read=168
[2026-04-10 15:09:26.787] OK    wrote=169  read=169
[2026-04-10 15:09:27.313] OK    wrote=170  read=170
[2026-04-10 15:09:27.838] OK    wrote=171  read=171
[2026-04-10 15:09:28.356] OK    wrote=172  read=172
[2026-04-10 15:09:28.870] OK    wrote=173  read=173
[2026-04-10 15:09:29.387] OK    wrote=174  read=174
[2026-04-10 15:09:29.903] OK    wrote=175  read=175
[2026-04-10 15:09:30.413] OK    wrote=176  read=176
[2026-04-10 15:09:30.934] OK    wrote=177  read=177
[2026-04-10 15:09:31.444] OK    wrote=178  read=178
[2026-04-10 15:09:31.967] OK    wrote=179  read=179
[2026-04-10 15:09:32.485] OK    wrote=180  read=180
[2026-04-10 15:09:33.001] OK    wrote=181  read=181
[2026-04-10 15:09:33.538] OK    wrote=182  read=182
[2026-04-10 15:09:34.057] OK    wrote=183  read=183
[2026-04-10 15:09:34.583] OK    wrote=184  read=184
[2026-04-10 15:09:35.116] OK    wrote=185  read=185
[2026-04-10 15:09:35.642] OK    wrote=186  read=186
[2026-04-10 15:09:36.173] OK    wrote=187  read=187
[2026-04-10 15:09:36.710] OK    wrote=188  read=188
[2026-04-10 15:09:37.249] OK    wrote=189  read=189
[2026-04-10 15:09:37.771] OK    wrote=190  read=190
[2026-04-10 15:09:38.291] OK    wrote=191  read=191
[2026-04-10 15:09:38.830] OK    wrote=192  read=192
[2026-04-10 15:09:39.363] OK    wrote=193  read=193
[2026-04-10 15:09:39.895] OK    wrote=194  read=194
